Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
4932|Z72652.1 S.cerevisiae chromosome VII reading frame ORF YGL130w,19944,274,6027,81.75,83.57,97.82,119.65,4.73,19136.15,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
4932|Z72728.1 S.cerevisiae chromosome VII reading frame ORF YGL206c,6866,276,6081,92.7,99.64,93.04,100.36,1.62,6078.77,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z73587.1 S.cerevisiae chromosome XVI reading frame ORF YPL231w,29686,325,7164,85.12,87.05,97.79,114.88,4.41,28722.22,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
"4932|X96876.1 S.cerevisiae DNA of cosmid from chromosome IV, strain FY 1679",15838,1217,26756,45.31,48.86,92.72,204.65,0.83,12533.22,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z74897.1 S.cerevisiae chromosome XV reading frame ORF YOL155c,4526,349,7681,84.57,91.07,92.87,109.81,0.91,3577.7,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z75021.1 S.cerevisiae chromosome XV reading frame ORF YOR113w,4880,171,3776,83.24,89.57,92.93,111.65,1.49,4387.92,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"287|AF241171.1 Pseudomonas aeruginosa pathogenicity island PAGI-1 gene, complete sequence",31302,2334,51300,25.06,26.65,94.06,375.3,0.59,24947.13,1e-26,135621,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,
"1201292|AJ312276.1 Enterococcus faecalis arginine deiminase operon (arcABCRD), arginine repressors (argR1/argR2), and pI and h1 genes, strain ATCC 29212",1255780,374,8228,99.64,99.91,99.72,100.09,187.89,1254657.44,1e-26,1351,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
"1613|AJ418938.2 Lactobacillus fermentum partial mRNA for putative elongation factor Tu (tuf gene), strain ATCC 14931",482,34,761,53.35,57.95,92.06,172.56,0.58,387.4,1e-26,33958,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,
"287|AF540990.1 Pseudomonas aeruginosa isolate 1-60 O-antigen biosynthetic locus, partial sequence",89068,869,19104,74.18,76.04,97.55,131.51,6.74,86493.78,1e-26,286,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
"1296|AJ579365.1 Staphylococcus sciuri pSCFS1 plasmid, complete sequence",43204,778,17108,17.64,18.1,97.48,552.58,5.5,40923.74,1e-26,2803850,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,
"4932|AJ586505.1 Saccharomyces cerevisiae Tandem I locus, strain CLIB382",21044,408,8982,76.0,81.15,93.65,123.23,2.59,19849.03,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"282459|BX571857.1 Staphylococcus aureus strain MSSA476, complete genome",1925290,127368,2799802,21.48,23.05,93.18,433.84,0.89,1574797.22,1e-26,90964,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,,
"4932|S53418.1 MYO2 homolog...ribosomal protein L10 homolog [Saccharomyces cerevisiae=yeast, Genomic, 5 genes, 9350 nt]",22212,425,9350,93.65,98.06,95.5,101.97,3.39,20967.64,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"4932|AF458976.1 Saccharomyces cerevisiae strain SK1, partial genome",115954,1455,31986,49.23,50.25,97.97,198.99,4.36,111659.88,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
"287|AF498400.1 Pseudomonas aeruginosa serotype 01 putative O-antigen biosynthesis gene cluster, partial sequence",329040,794,17453,97.21,97.93,99.26,102.11,25.31,326665.27,1e-26,287,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
"192011|AF518460.1 Cryptococcus neoformans A/D strain MMRL774 mitochondrial ATP8-NAD2 intergenic region, partial sequence",656,21,472,98.31,103.81,94.69,96.33,2.27,594.29,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"40410|AF532780.1 Cryptococcus neoformans var. neoformans NADH dehydrogenase subunit 5 (nad5) gene, partial cds; mitochondrial gene for mitochondrial product",13904,51,1134,99.91,100.0,99.91,100.0,19.96,13749.96,1e-26,5207,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans
"40410|AF534567.1 Cryptococcus neoformans var. neoformans NADH dehydrogenase subunit 2 (nad2) gene, partial cds; and NADH dehydrogenase subunit 3 (nad3) gene, complete cds; mitochondrial genes for mitochondrial products",1784,37,821,98.78,100.85,97.95,99.15,3.06,1674.99,1e-26,5206,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
"40410|AF534132.1 Filobasidiella neoformans serotype D NADH dehydrogenase subunit 6 (nad6) gene, complete cds; mitochondrial gene for mitochondrial product",914,27,609,96.39,102.46,94.07,97.6,3.19,834.13,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"1351|AY251020.1 Enterococcus faecalis dihydroorotate dehydrogenase (dhoD1a) gene, complete cds",6456,83,1845,95.39,99.02,96.33,100.99,3.67,6208.45,1e-26,1350,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,
"1201292|AY916083.1 Enterococcus faecalis ATCC 29212 cit gene cluster, complete sequence",51588,599,13166,44.17,44.84,98.51,223.04,5.22,49818.25,1e-26,1351,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
"10090|AK150119.1 Mus musculus bone marrow macrophage cDNA, RIKEN full-length enriched library, clone:G530133B12 product:Hydrogenase-2 large chain precursor (EC 1.12.99.6) (NiFe hydrogenase) (Membrane-bound hydrogenase 2 large subunit) (HYD2) homolog [Escherichia coli], full insert sequenceAK150137.1 Mus musculus bone marrow macrophage cDNA, RIKEN full-length enriched library, clone:G530135N21 product:Hydrogenase-2 large chain precursor (EC 1.12.99.6) (NiFe hydrogenase) (Membrane-bound hydrogenase 2 large subunit) (HYD2) homolog [Escherichia coli], full insert sequence",5656,371,8159,36.48,39.82,91.6,251.12,0.9,4633.7,1e-26,10066,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,,
"321314|AY509003.1 Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67 plasmid pSCV50, complete sequence",6336890,2253,49558,99.74,99.97,99.76,100.03,171.09,6330133.74,1e-26,28901,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
214684|AE017342.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 2 sequence,7477920,74202,1632307,92.69,95.88,96.67,104.29,6.33,7258229.11,1e-26,5206,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
"40410|AY560607.1 Cryptococcus neoformans var. neoformans strain IFM 5844 NADH dehydrogenase subunit 1 (nad1) gene, partial cds; and apocytochrome b (cob) gene, complete cds; mitochondrial",522570,217,4775,81.26,87.27,93.11,114.59,75.65,521918.58,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"40410|AY560609.1 Cryptococcus neoformans var. neoformans strain IFM 5844 small subunit ribosomal RNA gene, complete sequence; and ATP synthase subunit 6 (atp6), ATP synthase subunit 9 (atp9), and cytochrome oxidase subunit 1 (cox1) genes, complete cds; mitochondrial",2568182,428,9428,98.59,99.37,99.21,100.63,413.0,2566895.72,1e-26,5207,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans
"149539|D14490.1 Salmonella enterica subsp. enterica serovar Enteritidis plasmid pNL2001 genes for SpvA, SpvB and SpvC, complete cds",32090,187,4116,94.36,95.7,98.6,104.49,10.41,31532.48,1e-26,28901,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
"40410|AY138989.1 Filobasidiella neoformans cytochrome c oxidase subunit 2 (cox2) gene, complete cds; mitochondrial gene for mitochondrial product",4412,34,756,44.31,48.81,90.79,204.88,1.3,4309.86,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"178876|AY101381.1 Cryptococcus neoformans var. grubii strain H99 mitochondrion, complete genome",2548426,1131,24874,91.19,97.49,93.54,102.58,98.52,2545033.64,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"4932|U33050.4 Saccharomyces cerevisiae chromosome IV cosmids 9410, 8035, 8166, and 9787",137446,3140,69009,69.64,72.58,95.95,137.78,2.57,128306.41,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|U28373.1 Saccharomyces cerevisiae chromosome IV cosmid 9481,65382,1917,42133,67.31,71.71,93.86,139.45,1.64,59849.0,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"40410|AF538354.1 Cryptococcus neoformans var. neoformans NADH dehydrogenase subunit 4 (nad4) gene, partial cds; mitochondrial gene for mitochondrial product",1004,30,681,95.3,104.85,90.9,95.38,2.31,914.75,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"4932|DQ010172.1 Saccharomyces cerevisiae strain OG maltotriose transporter gene, complete cds",4880,123,2708,83.27,86.08,96.74,116.17,3.05,4522.47,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
"4932|DQ010173.1 Saccharomyces cerevisiae strain WS maltotriose transporter gene, complete cds",1536,123,2708,51.74,54.1,95.63,184.85,0.54,1202.94,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"1280|AY259130.1 Staphylococcus aureus ATPase copper transport and putative copper oxidase genes, complete cds",2414,175,3852,57.01,58.9,96.78,169.77,0.59,1935.63,1e-26,1279,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
"189668|DQ169247.1 Uncultured Staphylococcus sp. clone MT01A_B04 16S ribosomal RNA gene, partial sequence",462,40,886,74.83,82.84,90.33,120.71,1.18,354.0,1e-26,90964,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,,
"152508|DQ171532.1 Uncultured low G+C Gram-positive bacterium clone WS07B2_H09 16S ribosomal RNA gene, partial sequence",632,36,811,94.57,104.93,90.13,95.3,1.74,529.44,1e-26,1239,Bacteria,unk_k,Firmicutes,unk_c,unk_o,unk_f,,
"40410|AY421721.1 Cryptococcus neoformans var. neoformans putative O-acetyl-coA transporter (CAS8) gene, complete cds",1264,111,2460,67.97,71.87,94.57,139.14,0.72,964.62,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"40410|AY426188.1 Cryptococcus neoformans var. neoformans Ynd1p (YND1) gene, complete cds",7266,233,5127,96.26,105.54,91.2,94.75,2.33,6595.15,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"178876|AF356652.1 Filobasidiella neoformans var. neoformans 5S ribosomal RNA, 17S ribosomal RNA genes, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and 25S ribosomal RNA gene, complete sequence",25464,376,8275,48.21,53.1,90.78,188.32,1.68,24356.34,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"214684|AE017341.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 1, complete sequence",15873800,104464,2300533,96.34,97.66,98.65,102.4,9.61,15563139.17,1e-26,5207,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans
214684|AE017344.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 4 sequence,5615834,81076,1783081,81.44,84.11,96.83,118.89,4.35,5377220.69,1e-26,5206,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
214684|AE017345.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 5 sequence,4845246,68554,1507550,89.73,92.77,96.72,107.79,4.53,4643407.59,1e-26,5206,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
214684|AE017346.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 6 sequence,6851580,65417,1438950,94.17,97.27,96.81,102.81,6.43,6657800.94,1e-26,5206,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
214684|AE017347.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 7 sequence,5092674,61287,1347793,91.63,94.48,96.98,105.84,5.14,4911725.66,1e-26,5206,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
214684|AE017348.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 8 sequence,7979282,54287,1194300,94.41,95.97,98.38,104.2,9.63,7817886.94,1e-26,5206,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
214684|AE017350.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 10 sequence,6696084,49360,1085720,94.39,96.11,98.21,104.05,8.6,6549448.16,1e-26,5206,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
214684|AE017351.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 11 sequence,3152534,46386,1019846,83.55,86.27,96.84,115.91,4.33,3016063.88,1e-26,5206,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
214684|AE017352.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 12 sequence,5767164,41227,906719,93.7,95.43,98.19,104.79,8.84,5644652.77,1e-26,5206,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
214684|AE017353.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 13 sequence,1087486,35851,787999,27.69,28.92,95.76,345.84,1.73,984509.22,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
214684|AE017356.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 14 sequence,4869972,34682,762694,90.69,92.28,98.28,108.37,8.38,4766904.98,1e-26,5206,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
214684|AE017343.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 3 sequence,7541204,95723,2105742,92.81,95.95,96.73,104.22,4.86,7258832.66,1e-26,5206,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
"5476|AY441787.1 Candida albicans subtype e 25S ribosomal RNA gene, partial sequence",298,20,459,60.78,65.8,92.38,151.99,0.66,240.81,1e-26,766764,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,,
"178876|AF542528.2 Cryptococcus neoformans var. grubii strain 125.91 mating type a locus, complete sequence",149472,7006,153973,10.03,10.41,96.36,960.77,0.85,129708.55,1e-26,5206,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
"527799|AY616586.1 Escherichia coli strain LW1655F+ mraY, ftsW, murG, ftsQ, ftsA and ftsZ-like genes, complete sequence",15580,834,18331,59.4,67.48,88.03,148.2,0.67,13247.22,1e-26,91347,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,
"192011|DQ479323.1 Cryptococcus neoformans A/D strain WM628 large subunit ribosomal RNA gene, partial sequence; mitochondrial",353956,112,2463,99.92,100.04,99.88,99.96,261.6,353619.94,1e-26,192011,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans AD hybrid
"192011|DQ479317.1 Cryptococcus neoformans A/D strain WM628 apocytochrome b (cob) gene, partial cds; mitochondrial",5912,58,1276,99.76,100.71,99.07,99.3,6.48,5740.07,1e-26,192011,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans AD hybrid
"32630|DQ888227.1 Synthetic construct clone pNOY373 35S ribosomal RNA, 18S ribosomal RNA, 5.8S ribosomal RNA, 25S ribosomal RNA, and 5S ribosomal RNA, complete sequence",572462,416,9150,99.67,99.96,99.72,100.04,99.42,571214.25,1e-26,32630,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,synthetic construct
"32630|EF058441.1 Synthetic construct Saccharomyces cerevisiae clone FLH147435.01X SOG2, complete sequence",2544,108,2376,89.81,97.43,92.18,102.63,1.32,2237.29,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"32630|EF058894.1 Synthetic construct Saccharomyces cerevisiae clone FLH202825.01X ARG81, complete sequence",2426,120,2643,76.5,78.96,96.89,126.64,0.79,2087.93,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"32630|EF059074.1 Synthetic construct Saccharomyces cerevisiae clone FLH238336.01X HST1, complete sequence",1400,68,1512,94.51,98.48,95.97,101.54,0.98,1206.49,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"32630|EF059084.1 Synthetic construct Saccharomyces cerevisiae clone FLH147814.01X BUD2, complete sequence",11304,150,3315,96.53,99.91,96.62,100.09,3.86,10859.42,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"32630|EF059110.1 Synthetic construct Saccharomyces cerevisiae clone FLH201119.01X LEU4, complete sequence",1760,84,1860,83.12,86.67,95.91,115.38,0.87,1521.63,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"32630|EF038824.1 Synthetic construct Bacillus anthracis clone FLH245611.01L BA0642 gene, complete sequence",570,29,645,74.26,77.98,95.23,128.23,0.78,487.7,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
9913|DQ887321.1 Bos taurus pop-variant DC70 microsatellite BMS2270-98 sequence,176,4,99,40.4,41.41,97.56,241.46,0.41,162.94,1e-26,9903,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,
"283643|BR000310.1 TPA_inf: Cryptococcus neoformans var. neoformans B-3501A genes for 25S rRNA, 5S rRNA, 18S rRNA, 5.8S rRNA, complete sequence",2012606,367,8082,99.84,99.99,99.85,100.01,352.35,2011503.3,1e-26,5207,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans
"40410|AB204725.1 Filobasidiella neoformans CnHHK3 mRNA, complete cds",4656,257,5663,73.79,85.8,86.01,116.55,1.39,3937.01,1e-26,5234,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,
283643|XM_773202.1 Cryptococcus neoformans var. neoformans B-3501A hypothetical protein (CNBA2950) partial mRNA,2238,194,4272,45.95,51.4,89.39,194.54,0.51,1716.98,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
283643|XM_771292.1 Cryptococcus neoformans var. neoformans B-3501A hypothetical protein (CNBC6010) partial mRNA,3708,199,4374,70.14,75.95,92.35,131.67,1.38,3151.47,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
283643|XM_770317.1 Cryptococcus neoformans var. neoformans B-3501A hypothetical protein (CNBE1260) partial mRNA,638,45,1005,92.24,99.4,92.79,100.6,0.99,513.04,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
283643|XM_770169.1 Cryptococcus neoformans var. neoformans B-3501A hypothetical protein (CNBE3230) partial mRNA,2416,134,2961,93.14,108.78,85.63,91.93,1.5,2040.27,1e-26,5234,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,
283643|XM_769369.1 Cryptococcus neoformans var. neoformans B-3501A hypothetical protein (CNBG1080) partial mRNA,14252,310,6819,90.42,100.84,89.67,99.17,1.82,13347.6,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
283643|XM_767824.1 Cryptococcus neoformans var. neoformans B-3501A hypothetical protein (CNBK2880) partial mRNA,10590,219,4815,89.33,94.04,94.99,106.34,3.68,9950.48,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
283643|XM_767360.1 Cryptococcus neoformans var. neoformans B-3501A hypothetical protein (CNBL0680) partial mRNA,17396,231,5094,89.99,94.92,94.81,105.36,3.88,16712.82,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
283643|XM_767224.1 Cryptococcus neoformans var. neoformans B-3501A hypothetical protein (CNBL1850) partial mRNA,4170,175,3858,79.39,86.18,92.12,116.03,1.58,3671.72,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
283643|XM_766735.1 Cryptococcus neoformans var. neoformans B-3501A hypothetical protein (CNBN0100) partial mRNA,3172,180,3969,65.21,73.27,89.0,136.49,1.07,2669.11,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"77133|EF604277.1 Uncultured bacterium clone 16saw14g01.p1k 16S ribosomal RNA gene, partial sequence",794,67,1486,66.62,71.13,93.66,140.59,0.71,612.37,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"1640|EF690666.1 Listeria seeligeri strain ATCC 35967 23S ribosomal RNA gene, partial sequence",2528,119,2630,96.05,104.07,92.29,96.09,2.46,2190.62,1e-26,186820,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Listeriaceae,,
"4932|EF670006.1 Saccharomyces cerevisiae strain Sigma1278b flocculin (FLO11) gene, complete cds",15188,378,8308,60.01,63.32,94.77,157.92,2.39,14090.62,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"1402|EF644414.1 Bacillus licheniformis strain RT8 16S ribosomal RNA gene, partial sequence",948,65,1433,88.21,100.84,87.47,99.17,2.08,769.17,1e-26,1385,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,,,
"119912|EU219534.1 Salmonella enterica subsp. enterica serovar Choleraesuis strain OU7519 plasmid pOU7519, complete sequence",243250,5788,127212,26.82,27.99,95.8,357.22,2.18,226423.2,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
"4932|EF125223.1 Saccharomyces cerevisiae clone YJM326 NAF1 (YNL124W), NMA111 (YNL123W), YNL122C (YNL122C), TOM70 (YNL121C), NCS2 (YNL119W), DCP2 (YNL118C), MLS1 (YNL117W), DMA2 (YNL116W), and YNL115C (YNL115C) genes, complete cds",18152,774,17017,62.34,67.32,92.6,148.54,1.27,15955.76,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"27292|EU414029.1 Saccharomyces carlsbergensis strain 34/70 foam promoting protein (CFG1) gene, complete cds",4448,155,3408,77.46,89.14,86.9,112.18,2.04,4003.68,1e-26,4892,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,,,
"481805|CP000946.1 Escherichia coli ATCC 8739, complete genome",5066622,215828,4746218,12.37,13.1,94.44,763.51,1.33,4454409.05,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
"1613|EU559592.1 Lactobacillus fermentum strain ZDY2a 16S ribosomal RNA gene, partial sequence",1268,71,1570,65.29,71.53,91.27,139.8,1.49,1068.92,1e-26,33958,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,
"334390|AP008937.1 Lactobacillus fermentum IFO 3956 DNA, complete genome",33920458,95072,2098685,74.38,76.89,96.74,130.06,24.26,33636303.01,1e-26,2742598,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,
"287|EU595743.1 Pseudomonas aeruginosa strain PACS458 clone fa1376, complete sequence",364780,2593,57004,38.01,43.22,87.96,231.38,11.79,357072.1,1e-26,72274,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,,
"508882|EU362154.1 Bacillus sp. B8 16S ribosomal RNA gene, partial sequence",936,68,1514,88.04,94.58,93.09,105.73,0.95,748.22,1e-26,186817,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,,
"508905|EU362169.1 Bacillus sp. B23(2008) 16S ribosomal RNA gene, partial sequence",910,68,1513,89.49,95.51,93.7,104.71,0.96,722.83,1e-26,186817,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,,
"1613|FM209280.1 Lactobacillus fermentum ADI operon (arcB, arcC, arcA and arcD genes) strain IMDO 130101",3512,220,4845,38.62,41.86,92.26,238.91,1.25,2902.7,1e-26,33958,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,
"585035|CU928161.2 Escherichia coli S88 chromosome, complete genome",12231644,228621,5032268,3.71,3.93,94.23,2542.47,2.31,11562557.58,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
"1613|EU547303.1 Lactobacillus fermentum strain BCS80 16S ribosomal RNA gene, partial sequence",2080,67,1479,90.4,97.03,93.17,103.07,2.33,1886.54,1e-26,33958,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,
"287|EU348660.1 Pseudomonas aeruginosa strain W15Dec6 ferripyoverdine receptor (fpvB) gene, partial cds",1492,106,2343,65.77,68.46,96.07,146.07,0.68,1200.6,1e-26,135621,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,
